Call/Put,Strike,Last,Theoretical,IV,Delta,Gamma,Rho,Theta,Vega,Volume
Call,120.00,0.00,116.30,501.77%,97.73,0.00062,0.00462,-1.17501,0.00940,0
Call,125.00,0.00,111.25,469.67%,97.70,0.00067,0.00481,-1.11127,0.00950,0
Call,130.00,105.70,105.55,326.69%,99.50,0.00025,0.00405,-0.20058,0.00249,1
Call,135.00,103.20,100.53,297.03%,99.59,0.00024,0.00395,-0.15365,0.00211,2
Call,140.00,91.06,95.53,279.16%,99.56,0.00026,0.00411,-0.15240,0.00223,3
Call,145.00,93.87,90.58,279.20%,99.29,0.00041,0.00465,-0.23731,0.00345,2
Call,150.00,0.00,85.55,254.07%,99.37,0.00040,0.00470,-0.19363,0.00310,0
Call,155.00,0.00,80.53,228.84%,99.47,0.00038,0.00458,-0.14817,0.00264,0
Call,160.00,0.00,75.53,213.04%,99.43,0.00044,0.00474,-0.14657,0.00281,0
Call,165.00,66.90,70.55,205.12%,99.22,0.00060,0.00521,-0.18715,0.00371,1
Call,170.00,72.75,65.52,182.64%,99.34,0.00058,0.00507,-0.14301,0.00320,8
Call,175.00,56.71,60.53,168.00%,99.29,0.00068,0.00524,-0.14102,0.00343,1
Call,180.00,60.20,55.50,145.79%,99.46,0.00061,0.00491,-0.09519,0.00269,2
Call,185.00,0.00,50.53,139.63%,99.16,0.00095,0.00553,-0.13643,0.00400,0
Call,190.00,48.60,45.57,135.32%,98.59,0.00153,0.00626,-0.20845,0.00626,1
Call,195.00,41.82,40.53,112.31%,98.97,0.00173,0.00581,-0.13080,0.00477,1
Call,200.00,36.45,35.90,133.95%,95.50,0.00406,0.00755,-0.54864,0.01650,23
Call,202.50,0.00,33.05,96.37%,98.43,0.00235,0.00663,-0.16178,0.00685,0
Call,205.00,32.97,30.48,73.37%,99.53,0.00108,0.00455,-0.04093,0.00235,1
Call,207.50,33.48,28.07,85.78%,97.85,0.00345,0.00699,-0.18842,0.00895,1
Call,210.00,27.01,25.55,76.02%,98.05,0.00359,0.00696,-0.15332,0.00825,142
Call,212.50,24.85,23.10,74.19%,97.11,0.00511,0.00728,-0.20929,0.01147,16
Call,215.00,21.12,21.12,92.75%,91.28,0.00982,0.00820,-0.63691,0.02764,42
Call,217.50,19.24,18.13,61.70%,96.09,0.00788,0.00778,-0.22362,0.01473,45
Call,220.00,16.96,15.63,54.36%,95.63,0.00980,0.00790,-0.21557,0.01613,74
Call,222.50,13.78,13.78,70.06%,86.81,0.01751,0.00832,-0.64842,0.03724,50
Call,225.00,11.10,11.10,55.68%,86.92,0.02190,0.00842,-0.51148,0.03702,281
Call,227.50,9.19,8.35,39.48%,88.32,0.02866,0.00853,-0.33370,0.03420,137
Call,230.00,6.25,6.25,39.16%,79.47,0.04169,0.00813,-0.48141,0.04955,542
Call,232.50,3.85,3.85,29.60%,72.14,0.06514,0.00766,-0.42968,0.05852,545
Call,235.00,2.00,2.00,25.42%,54.43,0.08953,0.00606,-0.43648,0.06910,"4,462"
Call,237.50,0.98,0.88,24.46%,31.92,0.08383,0.00369,-0.37909,0.06226,"11,844"
Call,240.00,0.35,0.35,25.17%,15.43,0.05416,0.00182,-0.25968,0.04140,"16,591"
Call,242.50,0.13,0.13,26.23%,6.55,0.02790,0.00078,-0.14546,0.02224,"5,927"
