Call/Put,Strike,Last,Theoretical,IV,Delta,Gamma,Rho,Theta,Vega,Volume
Call,60.00,61.72,60.15,196.24%,99.44,0.00046,0.00686,-0.03341,0.00281,1
Call,65.00,57.90,55.15,175.36%,99.38,0.00056,0.00745,-0.03293,0.00310,1
Call,70.00,51.25,50.13,147.39%,99.52,0.00053,0.00726,-0.02155,0.00244,2
Call,75.00,48.35,45.13,130.10%,99.46,0.00067,0.00781,-0.02118,0.00272,1
Call,80.00,40.15,40.13,113.83%,99.39,0.00086,0.00837,-0.02076,0.00305,10
Call,85.00,37.80,35.13,98.41%,99.30,0.00113,0.00896,-0.02027,0.00345,179
Call,90.00,31.85,30.13,83.73%,99.18,0.00151,0.00951,-0.01971,0.00395,10
Call,95.00,25.33,25.15,74.23%,98.59,0.00274,0.01138,-0.02847,0.00637,1
Call,98.00,22.50,22.15,65.59%,98.41,0.00343,0.01182,-0.02773,0.00703,3
Call,99.00,0.00,21.15,62.75%,98.35,0.00371,0.01197,-0.02747,0.00728,0
Call,100.00,20.35,20.15,59.92%,98.28,0.00403,0.01212,-0.02719,0.00755,52
Call,101.00,0.00,19.15,57.10%,98.20,0.00439,0.01228,-0.02690,0.00784,0
Call,102.00,19.95,18.15,54.30%,98.11,0.00481,0.01243,-0.02659,0.00816,1
Call,103.00,0.00,17.15,51.51%,98.02,0.00528,0.01259,-0.02627,0.00850,0
Call,104.00,19.95,16.20,53.42%,96.86,0.00746,0.01402,-0.04058,0.01252,4
Call,105.00,16.23,15.20,50.44%,96.70,0.00825,0.01419,-0.03997,0.01306,1
Call,106.00,16.25,14.20,47.47%,96.51,0.00917,0.01436,-0.03932,0.01366,21
Call,107.00,13.75,13.25,47.65%,95.28,0.01166,0.01492,-0.05076,0.01747,1
Call,108.00,15.95,12.28,45.85%,94.51,0.01368,0.01513,-0.05525,0.01972,45
Call,109.00,12.77,11.30,43.83%,93.65,0.01601,0.01569,-0.05921,0.02209,1
Call,110.00,10.80,10.35,42.61%,92.26,0.02092,0.01597,-0.06722,0.02574,239
Call,111.00,9.82,9.38,40.12%,91.22,0.02239,0.01622,-0.06966,0.02831,26
Call,112.00,8.80,8.45,39.04%,89.16,0.02686,0.01639,-0.07933,0.03306,9
Call,113.00,7.85,7.52,37.47%,86.95,0.03189,0.01645,-0.08693,0.03769,25
Call,114.00,7.50,6.63,36.06%,84.14,0.03829,0.01645,-0.09556,0.04298,13
Call,115.00,5.78,5.78,35.28%,80.34,0.04497,0.01626,-0.10729,0.04924,110
Call,116.00,5.05,5.05,35.88%,75.09,0.04976,0.01555,-0.12518,0.05637,145
Call,117.00,4.35,4.20,33.54%,70.81,0.05761,0.01498,-0.12677,0.06103,468
Call,118.00,3.80,3.50,32.94%,64.89,0.06337,0.01406,-0.13458,0.06591,843
Call,119.00,2.88,2.88,32.61%,58.34,0.06733,0.01284,-0.14035,0.06936,"1,159"
Call,120.00,2.27,2.27,31.48%,51.47,0.07126,0.01152,-0.13855,0.07087,"4,074"
Call,121.00,1.78,1.78,31.07%,44.29,0.07151,0.01006,-0.13550,0.07019,"25,012"
Call,122.00,1.33,1.33,30.18%,36.93,0.07036,0.00849,-0.12586,0.06708,"11,071"
Call,123.00,1.00,1.00,30.01%,30.17,0.06535,0.00701,-0.11568,0.06197,"10,047"
Call,124.00,0.72,0.72,29.58%,23.81,0.05886,0.00558,-0.10130,0.05502,"8,697"
Call,125.00,0.53,0.53,29.76%,18.66,0.05073,0.00441,-0.08842,0.04772,"21,032"
Call,126.00,0.37,0.37,29.59%,14.06,0.04243,0.00334,-0.07312,0.03968,"6,718"
Call,127.00,0.26,0.26,29.68%,10.49,0.03443,0.00251,-0.05975,0.03231,"5,028"
Call,128.00,0.20,0.20,30.56%,8.22,0.02794,0.00197,-0.05139,0.02699,"2,673"
