Call/Put,Strike,Last,Theoretical,IV,Delta,Gamma,Rho,Theta,Vega,Volume
Call,60.00,61.11,60.28,449.29%,98.78,0.00079,0.00223,-0.31354,0.00280,87
Call,65.00,57.36,55.80,509.01%,96.54,0.00169,0.00255,-0.86363,0.00680,2
Call,70.00,52.70,50.80,455.89%,96.15,0.00206,0.00275,-0.84516,0.00743,5
Call,75.00,41.97,45.80,406.16%,95.69,0.00253,0.00294,-0.82437,0.00813,10
Call,80.00,42.50,40.13,223.58%,99.44,0.00080,0.00250,-0.07771,0.00141,20
Call,85.00,40.13,35.15,206.16%,99.04,0.00140,0.00275,-0.11632,0.00228,2
Call,90.00,30.65,30.15,175.60%,98.88,0.00213,0.00296,-0.11302,0.00260,130
Call,95.00,27.55,25.15,146.30%,98.68,0.00262,0.00319,-0.10913,0.00302,1
Call,96.00,25.30,24.15,140.56%,98.63,0.00281,0.00322,-0.10825,0.00312,8
Call,97.00,0.00,23.15,134.87%,98.57,0.00313,0.00326,-0.10734,0.00322,0
Call,98.00,0.00,22.15,129.21%,98.52,0.00329,0.00334,-0.10643,0.00333,0
Call,99.00,24.40,21.10,100.51%,99.59,0.00137,0.00249,-0.02609,0.00107,1
Call,100.00,21.27,20.10,95.78%,99.57,0.00150,0.00252,-0.02588,0.00112,15
Call,101.00,19.65,19.10,91.09%,99.55,0.00164,0.00255,-0.02567,0.00117,2
Call,102.00,20.41,18.10,86.42%,99.53,0.00181,0.00259,-0.02544,0.00122,1
Call,103.00,19.00,17.13,94.09%,98.75,0.00388,0.00335,-0.06647,0.00288,1
Call,104.00,19.31,16.10,77.15%,99.47,0.00223,0.00266,-0.02495,0.00134,1
Call,105.00,15.50,15.10,72.55%,99.44,0.00249,0.00270,-0.02467,0.00141,21
Call,106.00,14.35,14.10,67.97%,99.41,0.00281,0.00273,-0.02439,0.00149,15
Call,107.00,16.35,13.10,63.40%,99.37,0.00319,0.00277,-0.02408,0.00158,69
Call,108.00,12.50,12.10,58.85%,99.32,0.00365,0.00282,-0.02375,0.00168,14
Call,109.00,13.73,11.15,68.55%,97.36,0.01007,0.00383,-0.09194,0.00544,5
Call,110.00,10.55,10.13,58.07%,98.06,0.00918,0.00364,-0.05970,0.00419,116
Call,111.00,9.45,9.12,52.93%,97.89,0.01081,0.00369,-0.05839,0.00450,2
Call,112.00,9.65,8.15,52.12%,96.62,0.01622,0.00398,-0.08554,0.00666,1
Call,113.00,7.55,7.15,46.59%,96.27,0.01969,0.00403,-0.08291,0.00723,38
Call,114.00,6.45,6.20,46.31%,93.77,0.02984,0.00426,-0.12487,0.01090,54
Call,115.00,5.35,5.35,50.20%,88.18,0.04439,0.00434,-0.21941,0.01759,"3,442"
Call,116.00,4.55,4.33,41.63%,87.28,0.05636,0.00436,-0.19144,0.01853,108
Call,117.00,3.47,3.47,40.73%,81.03,0.07491,0.00425,-0.24398,0.02409,354
Call,118.00,2.81,2.64,38.33%,73.64,0.09591,0.00397,-0.27703,0.02904,"1,225"
Call,119.00,1.99,1.89,35.93%,63.88,0.11731,0.00356,-0.29797,0.03329,"3,586"
Call,120.00,1.25,1.25,34.03%,51.65,0.13181,0.00294,-0.30052,0.03543,"13,345"
Call,121.00,0.78,0.78,33.18%,38.35,0.12949,0.00223,-0.28082,0.03394,"30,625"
Call,122.00,0.45,0.45,32.60%,26.01,0.11196,0.00154,-0.23458,0.02884,"86,575"
Call,123.00,0.24,0.24,32.26%,16.06,0.08505,0.00096,-0.17456,0.02168,"58,661"
Call,124.00,0.13,0.13,32.86%,9.57,0.05818,0.00058,-0.12398,0.01511,"32,279"
Call,125.00,0.08,0.08,34.69%,6.07,0.03897,0.00037,-0.09256,0.01069,"48,258"
Call,126.00,0.04,0.04,35.07%,3.30,0.02359,0.00020,-0.05729,0.00654,"35,814"
Call,127.00,0.04,0.04,39.76%,2.96,0.01901,0.00018,-0.05935,0.00598,"13,416"
Call,128.00,0.03,0.03,42.35%,2.17,0.01377,0.00013,-0.04878,0.00461,"9,626"
Call,129.00,0.03,0.03,46.66%,1.99,0.01162,0.00012,-0.05001,0.00429,"1,565"
Call,130.00,0.02,0.02,48.06%,1.35,0.00809,0.00008,-0.03693,0.00308,"13,554"
Call,131.00,0.01,0.01,47.72%,0.73,0.00474,0.00005,-0.02134,0.00179,654
Call,132.00,0.02,0.02,55.93%,1.18,0.00619,0.00007,-0.03825,0.00274,"1,858"
Call,133.00,0.01,0.01,54.96%,0.64,0.00368,0.00004,-0.02196,0.00160,876
Call,134.00,0.01,0.01,58.50%,0.60,0.00329,0.00004,-0.02224,0.00152,190
Call,135.00,0.01,0.01,61.98%,0.57,0.00296,0.00004,-0.02250,0.00145,404
Call,136.00,0.01,0.01,65.42%,0.55,0.00269,0.00003,-0.02275,0.00139,368
Call,137.00,0.01,0.01,68.81%,0.52,0.00245,0.00003,-0.02298,0.00134,154
Call,138.00,0.01,0.01,72.16%,0.50,0.00225,0.00003,-0.02320,0.00129,76
Call,139.00,0.01,0.01,75.47%,0.48,0.00208,0.00003,-0.02340,0.00124,37
Call,140.00,0.01,0.01,78.73%,0.46,0.00193,0.00003,-0.02360,0.00120,556
Call,141.00,0.01,0.01,81.96%,0.45,0.00179,0.00003,-0.02378,0.00116,37
Call,142.00,0.01,0.01,85.15%,0.43,0.00167,0.00003,-0.02396,0.00113,1
Call,143.00,0.01,0.01,88.31%,0.42,0.00156,0.00003,-0.02413,0.00109,1
Call,144.00,0.01,0.01,91.43%,0.40,0.00147,0.00003,-0.02430,0.00106,2
Call,145.00,0.01,0.01,94.52%,0.39,0.00138,0.00002,-0.02445,0.00104,109
Call,146.00,0.01,0.01,97.57%,0.38,0.00131,0.00002,-0.02460,0.00101,2
Call,147.00,0.01,0.00,0.00%,0.00,0.00000,0.00000,0.00000,0.00000,20
Call,148.00,0.01,0.00,0.00%,0.00,0.00000,0.00000,0.00000,0.00000,75
Call,149.00,0.01,0.00,0.00%,0.00,0.00000,0.00000,0.00000,0.00000,2
Call,150.00,0.01,0.01,109.49%,0.34,0.00106,0.00002,-0.02515,0.00092,17
Call,155.00,0.01,0.00,0.00%,0.00,0.00000,0.00000,0.00000,0.00000,1
Call,160.00,0.01,0.01,137.38%,0.28,0.00070,0.00002,-0.02627,0.00077,1
Call,165.00,0.01,0.00,0.00%,0.00,0.00000,0.00000,0.00000,0.00000,718
Call,170.00,0.01,0.00,0.00%,0.00,0.00000,0.00000,0.00000,0.00000,1
Call,175.00,0.01,0.01,175.06%,0.23,0.00045,0.00001,-0.02750,0.00063,70
Call,180.00,0.01,0.00,0.00%,0.00,0.00000,0.00000,0.00000,0.00000,20
Call,185.00,0.01,0.00,0.00%,0.00,0.00000,0.00000,0.00000,0.00000,"1,675"
Call,190.00,0.04,0.00,0.00%,0.00,0.00000,0.00000,0.00000,0.00000,6
Call,195.00,0.01,0.00,0.00%,0.00,0.00000,0.00000,0.00000,0.00000,6
Call,200.00,0.01,0.00,0.00%,0.00,0.00000,0.00000,0.00000,0.00000,1
Call,205.00,0.01,0.01,239.40%,0.17,0.00026,0.00001,-0.02919,0.00049,1
Put,60.00,0.01,0.01,320.47%,-0.12,0.00014,-0.00001,-0.02777,0.00035,1
Put,65.00,0.01,0.00,0.00%,0.00,0.00000,0.00000,0.00000,0.00000,1
Put,70.00,0.01,0.01,253.21%,-0.15,0.00021,-0.00001,-0.02711,0.00043,13
Put,75.00,0.01,0.01,222.93%,-0.17,0.00027,-0.00001,-0.02671,0.00048,14
Put,80.00,0.01,0.01,194.45%,-0.19,0.00035,-0.00001,-0.02627,0.00054,2
Put,85.00,0.01,0.01,167.52%,-0.22,0.00046,-0.00002,-0.02576,0.00062,13
Put,90.00,0.01,0.01,141.91%,-0.26,0.00063,-0.00002,-0.02518,0.00071,1
Put,95.00,0.01,0.01,117.42%,-0.31,0.00090,-0.00002,-0.02449,0.00083,680
Put,96.00,0.02,0.00,0.00%,0.00,0.00000,0.00000,0.00000,0.00000,42
Put,97.00,0.01,0.01,107.89%,-0.33,0.00105,-0.00002,-0.02417,0.00090,3
Put,98.00,0.01,0.00,0.00%,0.00,0.00000,0.00000,0.00000,0.00000,2
Put,99.00,0.01,0.00,0.00%,0.00,0.00000,0.00000,0.00000,0.00000,333
